rep,id,eta_beta_N_pow,eta_fact_beta_T,eta_fact_delta_T,eta_delta_N,eta_c,eta_cI,eta_k,eta_g,eta_mu,eta_P_N,eta_fact_P_T,eta_alpha_VLSG,eta_thresh_Weight,eta_beta_immuno,Group
4,205,-0.483601843060909,0,0,0.0202897730435421,0,0,0,0,0,0,0,0,0,0,Convalescent
5,205,-0.26713547450758,0,0,-0.144112597329517,0,0,0,0,0,0,0,0,0,0,Convalescent
6,205,-0.690513654271918,0,0,-0.282488962348443,0,0,0,0,0,0,0,0,0,0,Convalescent
7,205,-0.925509909964337,0,0,-0.152066109388279,0,0,0,0,0,0,0,0,0,0,Convalescent
8,205,-0.139172458670273,0,0,0.258816507166572,0,0,0,0,0,0,0,0,0,0,Convalescent
9,205,-0.602274690907544,0,0,-0.186725236903909,0,0,0,0,0,0,0,0,0,0,Convalescent
10,205,-0.0630946144332201,0,0,0.0846565360917021,0,0,0,0,0,0,0,0,0,0,Convalescent
1,206,0.018324123840066,0,0,0.236555199844061,0,0,0,0,0,0,0,0,0,0,Convalescent
2,206,-0.507104871850234,0,0,0.588284046639494,0,0,0,0,0,0,0,0,0,0,Convalescent
3,206,-0.418833690010984,0,0,0.107530458933351,0,0,0,0,0,0,0,0,0,0,Convalescent
4,206,-0.536734409556762,0,0,-0.268288269123482,0,0,0,0,0,0,0,0,0,0,Convalescent
5,206,-1.19028384601735,0,0,0.0427176099610908,0,0,0,0,0,0,0,0,0,0,Convalescent
6,206,-1.54579011510377,0,0,-0.11576166586239,0,0,0,0,0,0,0,0,0,0,Convalescent
7,206,-0.958352353358467,0,0,-0.0967573532231462,0,0,0,0,0,0,0,0,0,0,Convalescent
8,206,-0.612560656270296,0,0,-0.0196015255939284,0,0,0,0,0,0,0,0,0,0,Convalescent
9,206,-0.357405787324577,0,0,0.47913617712383,0,0,0,0,0,0,0,0,0,0,Convalescent
10,206,-0.239193024975405,0,0,0.536948211174908,0,0,0,0,0,0,0,0,0,0,Convalescent
1,301,-1.21399156328686,0,0,-0.307686908254516,0,0,0,0,0,0,0,0,0,0,Conv-CD40
2,301,-0.607732849376827,0,0,0.224498343423956,0,0,0,0,0,0,0,0,0,0,Conv-CD40
3,301,-0.358801767407761,0,0,0.363985170039147,0,0,0,0,0,0,0,0,0,0,Conv-CD40
4,301,-1.2167163030579,0,0,-0.321399411382986,0,0,0,0,0,0,0,0,0,0,Conv-CD40
5,301,-1.07160834893758,0,0,0.143215416172216,0,0,0,0,0,0,0,0,0,0,Conv-CD40
6,301,-0.583523391596793,0,0,0.27150024788099,0,0,0,0,0,0,0,0,0,0,Conv-CD40
7,301,-1.59741917102801,0,0,-0.214280108728644,0,0,0,0,0,0,0,0,0,0,Conv-CD40
8,301,-0.703435274846483,0,0,-0.0611306837747163,0,0,0,0,0,0,0,0,0,0,Conv-CD40
9,301,-0.373461648156465,0,0,0.565526712944526,0,0,0,0,0,0,0,0,0,0,Conv-CD40
10,301,-0.544288348475485,0,0,0.169879526712777,0,0,0,0,0,0,0,0,0,0,Conv-CD40
1,302,-1.39650819656543,0,0,0.370438347546168,0,0,0,0,0,0,0,0,0,0,Conv-CD40
2,302,-1.81173973433018,0,0,-0.0455742516034981,0,0,0,0,0,0,0,0,0,0,Conv-CD40
3,302,-2.32628172914017,0,0,-0.0115693808708928,0,0,0,0,0,0,0,0,0,0,Conv-CD40
4,302,-0.793540946657779,0,0,0.0171607349197583,0,0,0,0,0,0,0,0,0,0,Conv-CD40
5,302,-2.04687195600005,0,0,0.0391137172088793,0,0,0,0,0,0,0,0,0,0,Conv-CD40
6,302,-1.97250410068896,0,0,0.0356141243084856,0,0,0,0,0,0,0,0,0,0,Conv-CD40
7,302,-1.21212879965704,0,0,0.0126463446325861,0,0,0,0,0,0,0,0,0,0,Conv-CD40
8,302,-1.47964450753973,0,0,0.254340763172015,0,0,0,0,0,0,0,0,0,0,Conv-CD40
9,302,-1.41197099827126,0,0,-0.0435690203870628,0,0,0,0,0,0,0,0,0,0,Conv-CD40
10,302,-0.885757528038761,0,0,0.0362192587829166,0,0,0,0,0,0,0,0,0,0,Conv-CD40
1,303,-0.951631516192359,0,0,0.10228346825122,0,0,0,0,0,0,0,0,0,0,Conv-CD40
2,303,-1.84103499776035,0,0,-0.260096819768758,0,0,0,0,0,0,0,0,0,0,Conv-CD40
3,303,-0.283035644917796,0,0,0.0112850802343017,0,0,0,0,0,0,0,0,0,0,Conv-CD40
4,303,-1.50280197057819,0,0,-0.169310323528303,0,0,0,0,0,0,0,0,0,0,Conv-CD40
5,303,-1.16593143858106,0,0,-0.18915794257117,0,0,0,0,0,0,0,0,0,0,Conv-CD40
6,303,-0.982463097004008,0,0,0.340835794492679,0,0,0,0,0,0,0,0,0,0,Conv-CD40
7,303,-1.16259731490881,0,0,0.0140327192845764,0,0,0,0,0,0,0,0,0,0,Conv-CD40
8,303,-1.04994908183371,0,0,-0.0595285113899103,0,0,0,0,0,0,0,0,0,0,Conv-CD40
9,303,-1.02700363151138,0,0,-0.060223592996467,0,0,0,0,0,0,0,0,0,0,Conv-CD40
10,303,-0.46990641859338,0,0,-0.0447263317281543,0,0,0,0,0,0,0,0,0,0,Conv-CD40
1,304,-0.461680125492816,0,0,0.110359499239809,0,0,0,0,0,0,0,0,0,0,Conv-CD40
2,304,-0.721137447484072,0,0,-0.171015556153476,0,0,0,0,0,0,0,0,0,0,Conv-CD40
3,304,-0.475899211572789,0,0,0.370589544914908,0,0,0,0,0,0,0,0,0,0,Conv-CD40
4,304,-0.769556831749105,0,0,-0.0862789782847936,0,0,0,0,0,0,0,0,0,0,Conv-CD40
5,304,-0.346194598706741,0,0,-0.126686383045675,0,0,0,0,0,0,0,0,0,0,Conv-CD40
6,304,-0.426402046380329,0,0,0.0410442956940519,0,0,0,0,0,0,0,0,0,0,Conv-CD40
7,304,-0.506385579151987,0,0,0.0086059435390016,0,0,0,0,0,0,0,0,0,0,Conv-CD40
8,304,-0.54022462182742,0,0,-0.0453206085815706,0,0,0,0,0,0,0,0,0,0,Conv-CD40
9,304,-1.16307707207794,0,0,-0.21227813685662,0,0,0,0,0,0,0,0,0,0,Conv-CD40
10,304,-0.676400539653437,0,0,0.172169476732659,0,0,0,0,0,0,0,0,0,0,Conv-CD40
1,305,-0.376039051195463,0,0,0.126875483019043,0,0,0,0,0,0,0,0,0,0,Conv-CD40
2,305,-1.03442547977555,0,0,0.152378998965823,0,0,0,0,0,0,0,0,0,0,Conv-CD40
3,305,-1.42875591365306,0,0,-0.0255734965269456,0,0,0,0,0,0,0,0,0,0,Conv-CD40
4,305,-0.947218993474685,0,0,-0.05892800368553,0,0,0,0,0,0,0,0,0,0,Conv-CD40
5,305,-1.11581626763481,0,0,-0.120488067565103,0,0,0,0,0,0,0,0,0,0,Conv-CD40
6,305,-0.688091647080637,0,0,0.133002924834466,0,0,0,0,0,0,0,0,0,0,Conv-CD40
7,305,-0.832080346024076,0,0,-0.0406905120462755,0,0,0,0,0,0,0,0,0,0,Conv-CD40
8,305,-0.73238716977628,0,0,0.111196236566324,0,0,0,0,0,0,0,0,0,0,Conv-CD40
9,305,-1.08127075534314,0,0,0.0542914604546949,0,0,0,0,0,0,0,0,0,0,Conv-CD40
10,305,-0.0319190711442978,0,0,0.322457885607142,0,0,0,0,0,0,0,0,0,0,Conv-CD40
1,306,-0.126877552133671,0,0,-0.297172030611983,0,0,0,0,0,0,0,0,0,0,Conv-CD40
2,306,-0.934253571038353,0,0,0.150862805292723,0,0,0,0,0,0,0,0,0,0,Conv-CD40
3,306,-0.650147639532811,0,0,0.127181942384398,0,0,0,0,0,0,0,0,0,0,Conv-CD40
4,306,-1.21581597505733,0,0,0.0334863265868637,0,0,0,0,0,0,0,0,0,0,Conv-CD40
5,306,-1.17152535154917,0,0,0.295651238698829,0,0,0,0,0,0,0,0,0,0,Conv-CD40
6,306,-0.560026792642797,0,0,0.116864759744231,0,0,0,0,0,0,0,0,0,0,Conv-CD40
7,306,-0.554539026511282,0,0,-0.263500378990858,0,0,0,0,0,0,0,0,0,0,Conv-CD40
8,306,-1.00901228953604,0,0,-0.0702412620665712,0,0,0,0,0,0,0,0,0,0,Conv-CD40
9,306,-1.63660032497818,0,0,0.168832383035197,0,0,0,0,0,0,0,0,0,0,Conv-CD40
10,306,-1.03120258413473,0,0,-0.149442288362713,0,0,0,0,0,0,0,0,0,0,Conv-CD40
