rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
1,104,-5.74462871774572,0,0,1.47796594871468,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
2,104,-5.62690543649292,0,0,1.37262941437651,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
3,104,-5.80958366908772,0,0,1.52466040378914,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
4,104,-5.44549909628901,0,0,1.64439937419672,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
5,104,-5.51609949787047,0,0,1.42688455290932,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
6,104,-5.75525652289888,0,0,1.40570172592683,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
7,104,-5.75591673778165,0,0,1.51161750402624,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
8,104,-5.63377959431807,0,0,1.67032555903822,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
9,104,-5.70239925575055,0,0,1.61973716197586,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
10,104,-5.51870957204474,0,0,1.36681216993909,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
1,105,-5.87884246533426,0,0,1.74251656173407,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
2,105,-5.89727406613327,0,0,2.30642421100149,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
3,105,-6.19936346020028,0,0,1.82223476950119,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
4,105,-6.21330284750658,0,0,1.69048008637166,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
5,105,-5.80043239968903,0,0,1.98694808982632,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
6,105,-5.74994786331066,0,0,2.0454760259917,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
7,105,-6.04292287141813,0,0,1.57417308887095,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
8,105,-6.19969629314674,0,0,1.83997904848669,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
9,105,-5.71865114316401,0,0,2.11512005421263,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
10,105,-5.5782888784773,0,0,2.14842869160128,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
1,106,-5.23051807833923,0,0,1.5886511814564,3,20,3,0,0.001,7863.17743726075,-2.52321480220147,1.35250861904682,4.5,-6.7716875516815e-7,Naive
