rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,Group,groupVsnaive
8,102,-4.80188718024546,0,0,1.23150873214239,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
9,102,-5.15118081976005,0,0,1.17153411783447,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
10,102,-4.41004164513033,0,0,0.960593157452811,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
1,103,-6.33544489972189,0,0,1.30238100720267,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
2,103,-6.34456970031665,0,0,1.16046676893757,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
3,103,-5.71224977795144,0,0,1.11057754858546,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
4,103,-6.0156039401653,0,0,1.29892396560348,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
5,103,-5.92824963594172,0,0,1.48746277827634,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
6,103,-5.70689958404775,0,0,1.65975654278911,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
7,103,-6.43005139937622,0,0,1.01864051347283,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
8,103,-6.10564964507509,0,0,1.39484915251009,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
9,103,-6.18546264098409,0,0,1.36324443469488,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
10,103,-6.13894725797469,0,0,1.3619205069941,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
1,104,-5.99421981675472,0,0,1.25740898642058,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
2,104,-5.78252764039689,0,0,1.11133336339272,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
3,104,-5.74552882115422,0,0,1.18195334864651,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
4,104,-6.24500773741654,0,0,1.02718613410127,3,20,3,0,0.001,7020.49899648843,-2.53924554795717,1.33,4.5,Naive,G_Naive
