time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode
20,103,5565.02,5.81703e-12,5.57671e-9,1.88216e-9,1.88609e-6,-8.37643e-101,22305.6,6.08928e-10,1.34383e-8,5.3141e-8,5.36962e-5,-5.07637e-102,5554.49,7.11464e-12,6.88462e-9,2.3067e-9,2.3115e-6,4.11458e-105,22302.8,7.20841e-10,1.61122e-8,6.28339e-8,6.34912e-5,2.49346e-106,5634.75,1.11116e-11,1.15205e-8,3.7944e-9,3.8017e-6,-2.48002e-109,22323.3,9.52283e-10,2.28204e-8,8.80666e-8,8.89299e-5,-1.50306e-110
0,104,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8
1,104,4655.05,374.497,2853.46,548.878,549565,20.268,29705.3,109.984,672.388,1595.28,1.61631e+6,1.12595,4345.27,391.137,2989.75,574.675,575402,20.2677,29584.4,119.9,725.839,1702.78,1.727e+6,1.12593,4337.28,391.564,2988.32,574.697,575426,20.2677,29581.2,120.152,726.099,1704.11,1.7284e+6,1.12593
2,104,4651.49,19.6025,1017.44,278.623,279363,4.35661e-8,29636.8,24.2985,279.678,893.802,912839,2.42013e-9,4341.52,20.4825,1067.75,291.941,292722,4.35059e-8,29505.8,27.6219,305.132,960.493,982453,2.41676e-9,4333.52,20.5027,1064.83,291.436,292216,4.35049e-8,29502.4,27.6686,304.689,959.766,981765,2.4167e-9
3,104,4650.05,1.32963,315.142,94.0138,94323.7,1.04782e-16,29605.3,9.32725,108.834,363.357,372095,5.82047e-18,4340.01,1.39303,331.416,98.679,99006.5,1.08326e-16,29469.2,10.809,120.413,395.22,405390,6.01722e-18,4332.01,1.39289,329.677,98.2878,98614.5,1.0763e-16,29465.8,10.8108,120.026,394.249,404422,5.97861e-18
4,104,4649.59,0.177982,95.6349,29.1093,29211.9,4.67574e-26,29592.7,3.66214,42.4154,142.228,145734,2.59699e-27,4339.52,0.187559,100.794,30.617,30725.7,3.73119e-26,29454.5,4.30478,47.6109,156.887,161019,2.07226e-27,4331.53,0.186907,100.004,30.4197,30527.8,4.23623e-26,29451.1,4.29817,47.376,156.232,160358,2.3528e-27
6,104,4649.4,0.0124727,8.74577,2.67608,2685.75,1.06736e-37,29585.9,0.558116,6.4556,21.6521,22188,5.92821e-39,4339.32,0.013239,9.25863,2.82708,2837.36,7.96599e-38,29446.4,0.675102,7.45827,24.5811,25230.9,4.42417e-39,4331.33,0.0131066,9.13779,2.79424,2804.42,9.43905e-38,29443,0.671751,7.39597,24.3943,25041,5.24236e-39
9,104,4649.38,0.000341905,0.241609,0.0739448,74.2124,1.62304e-50,29584.8,0.0331438,0.38338,1.28587,1317.69,9.0144e-52,4339.3,0.000365385,0.25749,0.0786399,78.9263,1.01473e-50,29445,0.0418601,0.462476,1.52425,1564.55,5.63551e-52,4331.31,0.000358853,0.252127,0.0771141,77.3954,1.21808e-50,29441.6,0.0414377,0.456251,1.50488,1544.77,6.76499e-52
14,104,4649.38,8.6311e-7,0.000609939,0.000186673,0.187348,6.52188e-74,29584.7,0.000299603,0.00346557,0.0116236,11.9113,3.62218e-75,4339.3,9.32695e-7,0.000657295,0.000200745,0.201476,3.21842e-74,29444.9,0.000406635,0.00449258,0.0148069,15.1983,1.78739e-75,4331.31,9.04022e-7,0.000635176,0.000194272,0.19498,3.56595e-74,29441.6,0.000399083,0.00439412,0.0144934,14.8776,1.98042e-75
20,104,4649.38,6.58745e-10,4.65519e-7,1.42473e-7,0.000142988,6.37903e-105,29584.7,1.05666e-6,1.22226e-5,4.0995e-5,0.0420096,3.54271e-106,4339.3,7.21417e-10,5.08402e-7,1.55271e-7,0.000155837,1.18627e-105,29444.9,1.56353e-6,1.72742e-5,5.69333e-5,0.0584383,6.58769e-107,4331.31,6.88265e-10,4.83582e-7,1.47906e-7,0.000148446,1.82635e-105,29441.6,1.51873e-6,1.67221e-5,5.51553e-5,0.0566173,1.01425e-106
