rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,Group,groupVsnaive
6,102,-4.9121245411517,0,0,1.11305166048287,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
7,102,-4.63385192211844,0,0,0.966025138396996,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
8,102,-4.90955016564543,0,0,1.09097095733011,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
9,102,-4.96346392410416,0,0,1.23139295521184,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
10,102,-5.16088944592398,0,0,1.14322381713817,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
1,103,-5.43094581907988,0,0,1.84547948716517,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
2,103,-5.38462101060226,0,0,2.04370442138269,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
3,103,-5.3991128881916,0,0,1.8766250690713,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
4,103,-5.77490946862962,0,0,1.70003590489917,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
5,103,-5.39202622911285,0,0,1.84732754299103,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
6,103,-5.51946281869335,0,0,1.67156893004119,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
7,103,-5.37088045164758,0,0,2.32236484530267,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
8,103,-5.1969628773126,0,0,2.38661993997489,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
9,103,-5.10719112736864,0,0,1.98915496871961,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
10,103,-5.35854876228298,0,0,1.86496128330059,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
1,104,-5.23601705856638,0,0,1.53556546203896,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
2,104,-5.36627640071355,0,0,1.16274592724191,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
3,104,-5.48986929666951,0,0,1.43962929778091,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
4,104,-5.72179781958657,0,0,1.25280236625691,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
5,104,-5.08609331261827,0,0,1.46932228255963,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
6,104,-5.6469158468931,0,0,1.11143089309259,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
7,104,-5.500374057381,0,0,1.27335905891617,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
8,104,-5.78495665857811,0,0,1.36468669819667,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
9,104,-5.32544981622675,0,0,1.58408546738178,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
10,104,-5.22488614651347,0,0,1.40766478943945,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
1,105,-5.29367184789528,0,0,2.26828233556319,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
2,105,-5.44876884885836,0,0,1.66335279058809,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
3,105,-5.63374105434364,0,0,2.04716139717745,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
4,105,-5.68807161646324,0,0,1.59584692632418,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
5,105,-5.61197252483573,0,0,1.92568628210066,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
6,105,-5.49164392506388,0,0,2.1506888332116,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
7,105,-5.73692213292721,0,0,2.06242977248042,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
8,105,-5.76740972295072,0,0,1.8021532047827,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
9,105,-5.48091309065978,0,0,2.04186614510529,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
10,105,-5.64190081837116,0,0,1.80251736328726,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
1,106,-5.81685513342122,0,0,1.15011376810793,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
2,106,-5.62212985674476,0,0,1.25555254828478,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
3,106,-5.26074653420188,0,0,1.63145405885272,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
4,106,-5.4337971834437,0,0,1.17507220109009,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
5,106,-5.11663346513622,0,0,1.74885563389677,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
6,106,-5.11198431121125,0,0,1.63239693508246,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
7,106,-4.8206299281397,0,0,1.42755161113806,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
8,106,-5.22616247627025,0,0,1.53813818602623,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
9,106,-5.12105914331612,0,0,1.49001850660184,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
10,106,-5.52977360419285,0,0,1.23705388337789,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Naive,G_Naive
1,201,-6.69803692969728,0,0,1.59362068054502,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
2,201,-6.71432337894692,0,0,1.21554337993349,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
3,201,-6.93706129509371,0,0,1.6239623081728,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
4,201,-6.72971335000751,0,0,1.43805240914332,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
5,201,-6.81676280590371,0,0,1.68536670399253,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
6,201,-6.77539674093227,0,0,1.58312258576443,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
7,201,-6.575172895525,0,0,1.40364648903233,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
8,201,-6.86676950387023,0,0,1.02361945483001,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
9,201,-6.37356110198024,0,0,1.39037311638899,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
10,201,-6.58121708617901,0,0,1.30275999074897,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
1,202,-7.25756454156388,0,0,1.47976005456697,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
2,202,-7.25020113449858,0,0,1.34997024318259,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
3,202,-6.80663074830689,0,0,2.19645422466838,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
4,202,-7.36328493031868,0,0,1.51692925239911,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
5,202,-7.43081104079373,0,0,1.83513096239581,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
6,202,-7.09596260852116,0,0,2.56801979987562,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
7,202,-7.30392368829374,0,0,1.49843622043053,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
8,202,-7.21112693215421,0,0,1.41883929700921,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
9,202,-7.27563026763689,0,0,1.80558534212068,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
10,202,-7.59404345102096,0,0,1.52935401624863,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
1,203,-7.54511752543971,0,0,1.39121349878233,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
2,203,-6.98606249876776,0,0,1.60484316691034,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
3,203,-6.89597113038297,0,0,1.67795100705432,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
4,203,-7.14867416089621,0,0,1.73116730562241,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
5,203,-6.8920148186624,0,0,1.72427209237432,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
6,203,-7.10077444043896,0,0,1.8872462114301,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
7,203,-7.12960470651589,0,0,1.53498287978515,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
8,203,-6.87514569056222,0,0,1.93755400575358,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
9,203,-6.75616771323225,0,0,1.68596007141834,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
10,203,-6.9698978663916,0,0,2.03563063235108,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
1,204,-7.34136856337292,0,0,1.44288778296022,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
2,204,-7.24378157508024,0,0,1.34799705811142,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
3,204,-7.29202287296928,0,0,1.69714826824502,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
4,204,-7.29837279680583,0,0,1.58438304589541,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
5,204,-7.56579860726186,0,0,1.15849048149592,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
6,204,-7.33652114459167,0,0,1.86775672498102,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
7,204,-7.217993426649,0,0,1.23211864757035,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
8,204,-7.10545534235053,0,0,1.44778420148895,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
9,204,-6.75920387744032,0,0,2.12980449876355,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
10,204,-7.0331634676496,0,0,1.43486373500317,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
1,205,-7.2971233680874,0,0,1.44253359215095,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
2,205,-6.95352786694616,0,0,1.86578657365943,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
3,205,-7.05820126622099,0,0,1.38335538257674,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
4,205,-7.41595369221,0,0,1.51479819174528,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
5,205,-6.99031942464167,0,0,1.62748137135286,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
6,205,-6.72808830491658,0,0,1.42888084217543,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
7,205,-7.37781563012004,0,0,1.23206503670425,3,20,3,0,0.001,6728.34220247181,-2.31083560775043,1.33,4.5,Convalescent,G_conv
