rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
5,102,-7.34982767593925,0,0,0.922763137101606,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
6,102,-7.63541438829737,0,0,1.03541589845995,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
7,102,-7.70944227461611,0,0,1.0312265936595,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
8,102,-7.27056494221038,0,0,0.973366510943957,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
9,102,-7.68480781410163,0,0,0.865122439126125,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
10,102,-7.42385437254435,0,0,0.949484715860493,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
1,103,-6.558091209106,0,0,2.68111385992918,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
2,103,-6.10906265222966,0,0,2.38990529501571,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
3,103,-6.67405283589497,0,0,1.82835573306222,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
4,103,-7.04636471981768,0,0,1.59549843288935,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
5,103,-6.71055839743347,0,0,2.27624422447328,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
6,103,-7.06403046962892,0,0,2.36710867492927,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
7,103,-7.06358740950954,0,0,1.68532636102504,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
8,103,-7.20120941709065,0,0,1.68063897702566,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
9,103,-6.85088693050844,0,0,2.28681414993349,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
10,103,-7.24776660691562,0,0,1.25857723679115,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
1,104,-6.86353967444766,0,0,1.06106812273214,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
2,104,-6.22809006691671,0,0,1.22550906603037,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
3,104,-6.52020582932936,0,0,1.12901096955238,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
4,104,-6.64233107246685,0,0,0.955432699643781,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
5,104,-6.56282087483155,0,0,0.972307348716475,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
6,104,-6.51214322417497,0,0,1.08397701492376,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
7,104,-5.93401548878813,0,0,1.49278675088886,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
8,104,-6.74104687072894,0,0,0.933428132797117,3,20,3,0,0.001,11029.211901113,-2.6282406287568,1.42570682730759,4.5,3.59445325678083e-6,Naive
