rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
3,102,-8.00263772897564,0,0,0.843631957584726,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
4,102,-7.43554619878133,0,0,0.834404664529083,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
5,102,-7.71553430968489,0,0,0.878790896165064,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
6,102,-7.58725537866445,0,0,0.766544394413595,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
7,102,-7.61465737460058,0,0,0.646924773841972,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
8,102,-7.40518295482547,0,0,0.702469278148643,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
9,102,-6.89068726922878,0,0,0.606658705781189,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
10,102,-7.83240403724201,0,0,0.883041589910191,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
1,103,-7.4818217130982,0,0,2.06382290458103,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
2,103,-7.8652751331309,0,0,1.76177218048558,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
3,103,-7.30428221796791,0,0,1.53335975578579,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
4,103,-6.98979520957754,0,0,1.97440246868268,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
5,103,-7.5178685686806,0,0,2.05402757728753,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
6,103,-7.63019436776307,0,0,2.12961093272895,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
7,103,-7.5749765442125,0,0,1.75902531254873,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
8,103,-7.51856136629817,0,0,2.00596078324811,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
9,103,-7.50921430425903,0,0,2.29514754879904,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
10,103,-7.34793740562004,0,0,1.69443187085635,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
1,104,-7.51337624912429,0,0,0.610285484459799,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
2,104,-7.10998500253074,0,0,1.04174092905161,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
3,104,-6.88209851886165,0,0,1.20974362907647,3,20,3,0,0.001,4790.12750563699,-2.6256205309428,1.27381583852001,4.5,1.32287849355356e-5,Naive
