rep,id,eta_beta_N_pow,eta_fact_beta_T,eta_fact_delta_T,eta_delta_N,eta_c,eta_cI,eta_k,eta_g,eta_mu,eta_P_N,eta_fact_P_T,eta_alpha_VLSG,eta_thresh_Weight,eta_beta_immuno,Group
3,301,-0.0071806769165268,0,0,0.68349792188074,0,0,0,0,0,0,0,0,0,0,Conv-CD40
4,301,-0.295766851722473,0,0,-0.186607246134465,0,0,0,0,0,0,0,0,0,0,Conv-CD40
5,301,0.111671743617703,0,0,0.548404539353743,0,0,0,0,0,0,0,0,0,0,Conv-CD40
6,301,0.176495902598379,0,0,1.03101113142404,0,0,0,0,0,0,0,0,0,0,Conv-CD40
7,301,-0.18044236566556,0,0,0.011643384174501,0,0,0,0,0,0,0,0,0,0,Conv-CD40
8,301,0.178639967381218,0,0,-0.251026021934643,0,0,0,0,0,0,0,0,0,0,Conv-CD40
9,301,-0.46114844167395,0,0,0.300960869125613,0,0,0,0,0,0,0,0,0,0,Conv-CD40
10,301,-0.105936237446509,0,0,0.422231344031285,0,0,0,0,0,0,0,0,0,0,Conv-CD40
1,302,-0.299883074412876,0,0,0.545923599468097,0,0,0,0,0,0,0,0,0,0,Conv-CD40
2,302,-0.267701960135832,0,0,0.322344767138517,0,0,0,0,0,0,0,0,0,0,Conv-CD40
3,302,-0.314898430714402,0,0,0.0822058163525205,0,0,0,0,0,0,0,0,0,0,Conv-CD40
4,302,0.174427082065404,0,0,1.08137469934708,0,0,0,0,0,0,0,0,0,0,Conv-CD40
5,302,-0.0516535308490074,0,0,0.648382039451567,0,0,0,0,0,0,0,0,0,0,Conv-CD40
6,302,-0.399141321809927,0,0,0.325679494853851,0,0,0,0,0,0,0,0,0,0,Conv-CD40
7,302,-0.0597395219397528,0,0,0.437773918548448,0,0,0,0,0,0,0,0,0,0,Conv-CD40
8,302,-0.254956120572818,0,0,0.596045169859865,0,0,0,0,0,0,0,0,0,0,Conv-CD40
9,302,-0.243469141238197,0,0,0.392001349464683,0,0,0,0,0,0,0,0,0,0,Conv-CD40
10,302,0.243142811462202,0,0,0.769866435334157,0,0,0,0,0,0,0,0,0,0,Conv-CD40
1,303,-0.0726970963238595,0,0,0.12553665996248,0,0,0,0,0,0,0,0,0,0,Conv-CD40
2,303,-0.221346730613491,0,0,0.329689095504474,0,0,0,0,0,0,0,0,0,0,Conv-CD40
3,303,0.269057453807782,0,0,0.411667005177421,0,0,0,0,0,0,0,0,0,0,Conv-CD40
4,303,-0.401253183792078,0,0,-0.167750798847679,0,0,0,0,0,0,0,0,0,0,Conv-CD40
5,303,0.0646014510318718,0,0,0.0600587559000453,0,0,0,0,0,0,0,0,0,0,Conv-CD40
6,303,0.0805426012120604,0,0,0.705730309750929,0,0,0,0,0,0,0,0,0,0,Conv-CD40
7,303,-0.210001530595286,0,0,0.157148483324407,0,0,0,0,0,0,0,0,0,0,Conv-CD40
