rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,Group,groupVsnaive
5,206,-6.77225268629279,0,0,2.24768729825286,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
6,206,-7.12810659961869,0,0,2.36064765434464,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
7,206,-7.05052083811864,0,0,2.19036463077444,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
8,206,-6.89416293124574,0,0,1.95396692108457,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
9,206,-7.2250401205713,0,0,2.41885277717401,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
10,206,-7.27985917463266,0,0,1.62173494119146,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Convalescent,G_conv
1,301,-7.75201078746479,0,0,2.27350876735792,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
2,301,-7.47127030481759,0,0,2.33260951961765,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
3,301,-7.71346517120587,0,0,1.76645490169849,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
4,301,-7.54936299829391,0,0,2.0028234541206,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
5,301,-7.54040272114704,0,0,2.55880317386777,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
6,301,-7.80241957710844,0,0,1.47706866980899,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
7,301,-7.8999041148723,0,0,1.36754436347744,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
8,301,-7.48945756535058,0,0,2.13114397604383,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
9,301,-7.67709880430523,0,0,2.31056360348372,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
10,301,-8.10833343685135,0,0,1.85530980060123,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
1,302,-8.49609363804539,0,0,2.27078503375777,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
2,302,-8.20700360638956,0,0,2.12637638054588,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
3,302,-8.20191529877013,0,0,1.6125727105487,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
4,302,-7.81434421492666,0,0,2.10433454381373,3,20,3,0,0.001,6410.49526084019,-2.3256018409536,1.33,4.5,Conv-CD40,G_convCD40
