time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,Marker_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,Marker_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode,Marker_mode
6,103,4923.21,0.000496576,0.103126,0.0776406,78.0137,-8.58479e-28,22122.2,0.0160397,0.11953,0.810403,825.606,-5.20331e-29,784895,4740.19,0.000476735,0.0919162,0.0689932,69.352,3.79747e-26,22067.3,0.0170112,0.11936,0.791883,808.074,2.30157e-27,784895,4852.4,0.000599644,0.141615,0.0984949,98.9489,8.42731e-29,22100.5,0.0196238,0.154049,0.992056,1010.66,5.10726e-30,784895
9,103,4923.21,1.6083e-6,0.000389426,0.000295503,0.296809,2.39726e-35,22122.2,0.000175787,0.00139713,0.00964026,9.80623,1.45301e-36,137716,4740.19,1.39843e-6,0.000312011,0.000236311,0.237465,-2.62732e-33,22067.3,0.000182712,0.00135303,0.00911986,9.29327,-1.59236e-34,137716,4852.4,2.34543e-6,0.000633257,0.000443095,0.444989,4.11394e-36,22100.5,0.000244015,0.00202709,0.013244,13.4745,2.4932e-37,137716
14,103,4923.21,1.41575e-10,3.5459e-8,2.69362e-8,2.70507e-5,-2.06957e-47,22122.2,9.67864e-8,7.77747e-7,5.40144e-6,0.00549273,-1.25458e-48,95219.7,4740.19,1.03487e-10,2.37904e-8,1.80392e-8,1.81246e-5,7.41858e-46,22067.3,9.66249e-8,7.21929e-7,4.89437e-6,0.004986,4.49595e-47,95219.7,4852.4,2.75611e-10,7.65272e-8,5.35881e-8,5.38098e-5,4.8947e-48,22100.5,1.65935e-7,1.39198e-6,9.14267e-6,0.0092993,2.96636e-49,95219.7
20,103,4923.21,2.00749e-15,5.06626e-13,3.84905e-13,3.86525e-10,3.42893e-56,22122.2,1.18736e-11,9.59009e-11,6.6695e-10,6.78145e-7,2.07861e-57,44224.6,4740.19,1.19404e-15,2.76281e-13,2.09518e-13,2.10501e-10,3.35336e-54,22067.3,1.13012e-11,8.47966e-11,5.75602e-10,5.86316e-7,2.03224e-55,44224.6,4852.4,5.53129e-15,1.54581e-12,1.08256e-12,1.087e-9,2.89012e-58,22100.5,2.62828e-11,2.21467e-10,1.45627e-9,1.48107e-6,1.75151e-59,44224.6
0,104,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,119287,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,119287,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,119287
1,104,5974.39,302.695,2216.07,673.955,674686,20.2667,30131.7,80.7473,472.01,1697.05,1.71299e+6,1.12589,146880,5608.79,322.932,2435.63,710.777,711589,20.2672,30018.9,90.1887,533.817,1847.01,1.86607e+6,1.12592,146880,5521.17,327.751,2417.88,710.656,711484,20.2672,29991,92.4017,534.112,1859.36,1.87908e+6,1.12591,146880
2,104,5970.39,16.1384,757.418,331.646,332451,4.34284e-8,30078.9,18.4766,191.176,930.279,944669,2.41254e-9,174473,5604.38,17.2619,865.384,360.262,361161,4.34213e-8,29955.1,22.1053,226.33,1048.91,1.0665e+6,2.41213e-9,174473,5516.78,17.4907,832.45,351.464,352361,4.341e-8,29926,22.4603,220.796,1033.55,1.05143e+6,2.4115e-9,174473
3,104,5968.82,1.18486,223.601,107.288,107618,7.03709e-17,30055,7.05055,72.8609,370.279,376796,3.90912e-18,202066,5602.61,1.297,266.91,121.122,121500,1.22786e-16,29925,8.88923,90.6747,437.192,445463,6.82074e-18,202066,5515.05,1.2921,247.862,114.54,114908,6.71748e-17,29896,8.83698,86.3168,420.709,428941,3.73151e-18,202066
4,104,5968.34,0.174654,64.5714,31.684,31789.6,1.39874e-26,30045.6,2.72913,27.8784,142.183,144759,7.76872e-28,229659,5602.03,0.202832,80.6549,37.3492,37474.8,-6.25303e-25,29912.7,3.61163,36.4669,176.352,179775,-3.47352e-26,229659,5514.52,0.193054,72.2172,34.1121,34230.6,5.28811e-26,29884.1,3.50647,33.8917,165.685,169013,2.93735e-27,229659
6,104,5968.16,0.0117826,5.34297,2.63794,2646.98,-1.91493e-35,30040.6,0.400868,4.09513,20.8864,21266,-1.0635e-36,204780,5601.8,0.0152519,7.31403,3.40494,3416.67,-1.81517e-32,29905.7,0.585689,5.91511,28.6063,29162.8,-1.00825e-33,204780,5514.31,0.0133196,6.08405,2.89108,2901.39,-7.17638e-34,29877.5,0.542141,5.24104,25.622,26138,-3.98619e-35,204780
9,104,5968.14,0.00027687,0.127011,0.0627279,62.9418,-3.26521e-42,30039.8,0.0224064,0.229902,1.1734,1194.61,-1.81341e-43,167463,5601.78,0.000411997,0.199515,0.0929047,93.2233,1.80543e-39,29904.5,0.038021,0.385446,1.86522,1901.34,1.00283e-40,167463,5514.29,0.000321906,0.148594,0.0706315,70.8824,-5.71098e-40,29876.4,0.0327606,0.317891,1.55508,1586.25,-3.17228e-41,167463
14,104,5968.14,5.43564e-7,0.000249586,0.000123267,0.123686,-2.40072e-50,30039.8,0.000183675,0.00188526,0.00962381,9.79768,-1.33329e-51,168538,5601.78,1.01754e-6,0.000493138,0.000229633,0.23042,-2.41762e-48,29904.4,0.000399774,0.00405398,0.0196203,20.0001,-1.34277e-49,168538,5514.29,6.6115e-7,0.000305434,0.000145184,0.145699,-3.81715e-55,29876.3,0.00030563,0.00296651,0.0145138,14.8046,-2.1203e-56,168538
20,104,5968.14,3.07172e-10,1.41015e-7,6.96452e-8,6.98824e-5,7.25485e-60,30039.8,5.76495e-7,5.91631e-6,3.02007e-5,0.0307464,4.02906e-61,169828,5601.78,7.57181e-10,3.66897e-7,1.70848e-7,0.000171434,-1.3468e-59,29904.4,1.6914e-6,1.71497e-5,8.29988e-5,0.0846055,-7.47914e-61,169828,5514.29,3.9438e-10,1.82163e-7,8.65887e-8,8.68961e-5,1.52563e-64,29876.3,1.12021e-6,1.08716e-5,5.31889e-5,0.0542548,8.47422e-66,169828
0,105,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,117060,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,117060,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,117060
1,105,8477.92,160.913,983.49,315.082,315193,20.269,30755.3,31.8301,176.329,678.809,681443,1.12604,109473,8188.11,177.512,1067.95,332.856,333014,20.2666,30694.4,36.0065,194.868,732.316,735601,1.12591,109473,8437.02,163.253,1015.34,313.013,313128,20.2689,30747,32.3614,182.387,679.136,681818,1.12604,109473
2,105,8476.83,8.29209,264.735,129.785,129956,4.42114e-8,30746.6,3.8456,51.9471,294.739,296868,2.45612e-9,101885,8186.86,9.1559,280.96,134.735,134943,4.38742e-8,30683.9,4.50398,56.6117,314.013,316607,2.43738e-9,101885,8435.91,8.41337,279.876,131.234,131410,4.42038e-8,30738,3.93693,54.9169,299.912,302103,2.4557e-9,101885
3,105,8476.48,0.493636,59.4683,33.2414,33303.9,-9.65646e-15,30743.6,0.903071,13.6168,84.5168,85263.9,-5.36458e-16,94297.8,8186.47,0.545638,61.4963,33.764,33837,-1.02488e-14,30680.3,1.06809,14.6852,89.0546,89953.4,-5.69361e-16,94297.8,8435.54,0.502779,64.5989,34.3873,34452,-2.92591e-14,30734.9,0.9421,14.7255,87.769,88550.6,-1.62545e-15,94297.8
4,105,8476.39,0.0434758,12.899,7.51672,7532.85,-4.95678e-20,30742.8,0.237046,3.54941,22.4146,22625.4,-2.75371e-21,86710.4,8186.38,0.0476793,12.9794,7.44618,7464.54,-4.97797e-20,30679.3,0.278744,3.79428,23.3957,23646.9,-2.76548e-21,86710.4,8435.46,0.045154,14.4181,7.98247,7999.52,-1.02706e-19,30734,0.252669,3.9257,23.7906,24015.7,-5.7057e-21,86710.4
