time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode
14,103,2489.57,5.26442e-10,1.44699e-7,7.53769e-8,7.58274e-5,6.8592e-77,21130.2,2.03108e-6,1.28818e-5,4.74881e-5,0.0494696,4.15638e-78,2786.57,9.41252e-10,2.82354e-7,1.40286e-7,0.000141086,2.11762e-76,21296.1,1.95506e-6,1.37416e-5,5.08157e-5,0.052718,1.28229e-77,2603.11,9.39468e-10,2.8084e-7,1.39891e-7,0.000140689,-5.18811e-74,21193.2,2.62673e-6,1.77074e-5,6.47694e-5,0.0673288,-3.14345e-75
20,103,2489.57,1.05813e-14,2.90839e-12,1.51504e-12,1.5241e-9,3.18942e-114,21130.2,6.5254e-10,4.13862e-9,1.52568e-8,1.58935e-5,1.93304e-115,2786.57,2.63429e-14,7.90225e-12,3.92618e-12,3.94857e-9,1.55213e-109,21296.1,6.66605e-10,4.68539e-9,1.73264e-8,1.7975e-5,9.39775e-111,2603.11,2.57995e-14,7.71239e-12,3.84166e-12,3.86359e-9,1.04223e-107,21193.2,9.79786e-10,6.60497e-9,2.41594e-8,2.51141e-5,6.31453e-109
0,104,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8
1,104,2212.97,500.62,3616.64,810.42,811239,20.2669,28412.7,219.792,1152.1,2465.81,2.52571e+6,1.12584,2360.59,493.457,3600.07,801.405,802250,20.2682,28524.2,209.931,1118.87,2402.49,2.45855e+6,1.12592,2074.59,507.256,3671.29,820.911,821699,20.269,28299.4,230.737,1198.46,2572.71,2.6375e+6,1.12595
2,104,2208.53,26.0951,1164.48,378.417,379289,4.32496e-8,28229.5,60.9767,474.009,1344.89,1.39663e+6,2.40234e-9,2356.07,25.7634,1177.7,378.938,379836,4.33353e-8,28351.4,57.7126,463.768,1320.36,1.36917e+6,2.40712e-9,2070.2,26.4103,1182.27,383.231,384082,4.3345e-8,28101,65.7057,497.48,1411.12,1.46722e+6,2.40763e-9
3,104,2206.88,1.69353,322.539,115.624,115965,8.21805e-17,28146.3,24.4636,187.132,549.041,572541,4.5644e-18,2354.37,1.6912,332.02,117.592,117946,5.38721e-17,28272.4,23.2474,184.101,542.267,564574,2.99208e-18,2068.59,1.70415,327.589,117.127,117460,5.23367e-17,28010.3,26.6861,198.629,581.864,607537,2.90673e-18
4,104,2206.41,0.196375,87.1966,32.0686,32171.2,1.72632e-25,28113,9.76088,74.2475,218.315,227828,9.58768e-27,2353.87,0.202244,91.4234,33.1861,33294.3,-3.02624e-26,28240.5,9.32559,73.4282,216.776,225857,-1.68086e-27,2068.11,0.195493,88.5978,32.4974,32597.8,-2.67684e-25,27973.6,10.7647,79.709,233.97,244469,-1.48665e-26
6,104,2206.24,0.0102438,6.31359,2.33983,2347.57,2.9427e-36,28094.5,1.53914,11.7068,34.426,35929.1,1.63426e-37,2353.69,0.0111297,6.87028,2.51191,2520.36,-4.39675e-37,28222.8,1.48613,11.6999,34.5444,35994.5,-2.44202e-38,2067.95,0.0101259,6.4203,2.37303,2380.62,-4.58899e-36,27952.9,1.73587,12.8543,37.7361,39432.4,-2.54853e-37
9,104,2206.23,0.000196789,0.122812,0.0455322,45.6832,-1.99616e-52,28091.2,0.0963327,0.732789,2.15498,2249.07,-1.10863e-53,2353.68,0.000226359,0.141318,0.0516872,51.8616,4.02528e-53,28219.6,0.094495,0.744011,2.1968,2289.01,2.23583e-54,2067.94,0.00019469,0.125041,0.0462351,46.3833,2.8236e-52,27949.2,0.112371,0.832222,2.44324,2553.06,1.56816e-53
14,104,2206.23,2.76829e-7,0.000172773,6.40556e-5,0.0642681,8.43143e-79,28091,0.000950546,0.00723072,0.0212641,22.1925,4.68264e-80,2353.68,3.49498e-7,0.000218207,7.98095e-5,0.0800788,-3.4503e-80,28219.4,0.000957275,0.00753721,0.0222547,23.1888,-1.91597e-81,2067.94,2.74435e-7,0.00017627,6.51777e-5,0.0653867,-1.01763e-78,27949,0.00117291,0.00868664,0.0255024,26.6486,-5.65167e-80
20,104,2206.23,1.04764e-10,6.53848e-8,2.42413e-8,2.43218e-5,4.95442e-112,28091,3.72426e-6,2.83301e-5,8.33132e-5,0.0869505,2.75145e-113,2353.68,1.47896e-10,9.2338e-8,3.37727e-8,3.38867e-5,5.49324e-115,28219.4,3.87093e-6,3.04782e-5,8.99916e-5,0.0937686,3.05056e-116,2067.94,1.04114e-10,6.68727e-8,2.47269e-8,2.48062e-5,-1.33712e-112,27948.9,4.91613e-6,3.64091e-5,0.00010689,0.111695,-7.42462e-114
0,105,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8
1,105,3296.91,446.209,2545.41,610.942,611765,20.2669,29116.1,153.147,697.289,1615.28,1.64656e+6,1.12587,3498.97,435.751,2484.73,594.373,595186,20.2676,29219.1,144.735,664.114,1548.3,1.57686e+6,1.12591,3212.01,450.573,2577.68,616.813,617636,20.2673,29070.4,157.151,713.883,1659.25,1.69203e+6,1.12589
2,105,3293.47,23.0751,602.514,226.972,227675,4.34344e-8,29032.3,29.2109,206.58,682.67,705190,2.41271e-9,3495.59,22.5403,589.035,221.15,221843,4.34995e-8,29142.4,26.932,195.422,652.138,672691,2.41635e-9,3208.56,23.2972,611.941,229.606,230312,4.34449e-8,28982.4,30.4978,213.103,704.714,728375,2.41329e-9
3,105,3292.48,1.37064,117.39,51.5504,51766.7,-4.8338e-15,29003.4,8.3398,57.7791,202.483,210314,-2.68519e-16,3494.62,1.34066,114.932,50.2933,50506.7,-5.58758e-15,29116.1,7.5935,54.1091,191.889,199000,-3.10391e-16,3207.56,1.38351,119.641,52.2946,52512.2,-3.44953e-15,28951.9,8.80089,60.1749,210.718,218996,-1.91624e-16
4,105,3292.27,0.113859,21.9204,10.17,10218.8,6.82629e-22,28995.1,2.38609,16.3141,57.4819,59793.3,3.792e-23,3494.41,0.111738,21.4942,9.93585,9983.99,-6.52366e-23,29108.6,2.15114,15.1189,53.9361,56017,-3.6237e-24,3207.34,0.115014,22.4235,10.3509,10400.1,-4.06073e-23,28943.1,2.54146,17.1554,60.3811,62844.5,-2.25575e-24
6,105,3292.22,0.00233977,0.746344,0.355166,357.013,9.41547e-31,28992.1,0.191717,1.30814,4.60839,4795.27,5.23026e-32,3494.36,0.00231145,0.734125,0.348036,349.864,-9.38805e-32,29105.9,0.169342,1.18749,4.23576,4400.66,-5.21476e-33,3207.3,0.00237914,0.769307,0.364137,366.012,-5.28467e-32,28939.8,0.208114,1.40217,4.93422,5137.16,-2.93564e-33
9,105,3292.22,1.39714e-5,0.00465879,0.00222325,2.23496,-3.55021e-50,28991.8,0.00435492,0.0297158,0.104683,108.928,-1.9729e-51,3494.36,1.38758e-5,0.00460423,0.00218888,2.20054,1.30451e-50,29105.7,0.00372939,0.0261525,0.0932841,96.9165,7.24771e-52,3207.29,1.4373e-5,0.00485766,0.00230564,2.31767,5.06322e-51,28939.5,0.00486476,0.0327775,0.115342,120.087,2.81284e-52
14,105,3292.22,2.95335e-9,9.85418e-7,4.70292e-7,0.000472772,1.45248e-76,28991.8,7.9346e-6,5.41417e-5,0.00019073,0.198466,8.07151e-78,3494.36,2.95641e-9,9.81586e-7,4.66688e-7,0.000469175,-5.78373e-77,29105.7,6.45315e-6,4.5253e-5,0.000161414,0.1677,-3.21334e-78,3207.29,3.09703e-9,1.04735e-6,4.97152e-7,0.000499749,-2.63198e-76,28939.5,9.29699e-6,6.26407e-5,0.000220429,0.229496,-1.46219e-77
20,105,3292.22,1.15106e-13,3.84064e-11,1.83295e-11,1.84262e-8,-8.49712e-116,28991.8,4.09526e-9,2.7944e-8,9.8441e-8,0.000102434,-4.72185e-117,3494.36,1.16301e-13,3.86142e-11,1.83589e-11,1.84567e-8,1.71583e-112,29105.7,3.13053e-9,2.1953e-8,7.83047e-8,8.13538e-5,9.53199e-114,3207.29,1.23554e-13,4.17834e-11,1.98335e-11,1.99371e-8,1.09116e-114,28939.5,5.08187e-9,3.42403e-8,1.2049e-7,0.000125446,6.061e-116
0,106,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8
1,106,1045.65,553.209,3901.49,890.118,890480,20.2667,27114,346.922,1617.36,3435.53,3.55402e+6,1.12578,1064.31,552.446,3882.25,884.282,884654,20.2667,27143.5,344.159,1601,3421.65,3.53895e+6,1.12579,1067.17,552.33,3889.68,885.352,885727,20.2671,27148,343.805,1602.51,3422.98,3.54016e+6,1.12581
2,106,1042.35,28.4021,1185.72,396.248,396773,4.30867e-8,26759.1,114.272,686.675,1891.9,1.99298e+6,2.39311e-9,1061,28.3655,1174.76,392.379,392909,4.30899e-8,26792.8,112.932,676.954,1878.02,1.97786e+6,2.39329e-9,1063.86,28.3633,1180.51,393.748,394281,4.31086e-8,26797.1,112.984,679.132,1882.47,1.98236e+6,2.39433e-9
3,106,1041.19,1.68883,308.332,114.552,114758,2.31382e-16,26594.6,48.4688,285.325,805.83,852888,1.2851e-17,1059.84,1.68645,303.971,112.951,113158,-4.01342e-15,26630.7,47.7204,280.161,796.824,843147,-2.22907e-16,1062.69,1.68817,306.485,113.674,113882,4.04089e-16,26634.7,47.8401,281.666,800.398,846838,2.24432e-17
4,106,1040.87,0.157674,78.0611,29.8656,29925.2,-1.18499e-24,26525.6,20.2902,119.176,337.035,356940,-6.58125e-26,1059.53,0.157056,76.5593,29.3056,29365.3,1.24871e-23,26563.1,19.9003,116.561,331.962,351483,6.93498e-25,1062.37,0.157874,77.463,29.59,29650.2,-2.48431e-24,26566.7,19.992,117.435,334.156,353766,-1.37976e-25
6,106,1040.77,0.00607849,4.94801,1.91122,1915.21,4.04056e-37,26484.8,3.53586,20.7886,58.8163,62289.8,2.2442e-38,1059.43,0.00598568,4.80207,1.85608,1860.03,4.32699e-36,26523.2,3.44115,20.175,57.4812,60861.4,2.40329e-37,1062.27,0.00607965,4.89339,1.88724,1891.25,8.51281e-37,26526.6,3.47154,20.4118,58.1051,61515,4.72816e-38
9,106,1040.77,9.44488e-5,0.0787962,0.0304531,30.517,-5.3008e-51,26476.8,0.257318,1.51322,4.28176,4534.54,-2.94408e-52,1059.42,9.15193e-5,0.0752725,0.0291111,29.1734,-6.65499e-50,26515.5,0.247528,1.45154,4.1361,4379.24,-3.69619e-51,1062.26,9.39913e-5,0.0775279,0.0299174,29.9813,-1.18681e-50,26518.8,0.251291,1.47787,4.20741,4454.24,-6.59155e-52
14,106,1040.77,9.51766e-8,7.94165e-5,3.06931e-5,0.0307575,1.63382e-76,26476.2,0.00326459,0.0191985,0.054324,57.531,9.07434e-78,1059.42,8.98255e-8,7.3892e-5,2.85773e-5,0.0286385,6.07386e-76,26514.9,0.00308003,0.0180621,0.0514674,54.4929,3.37447e-77,1062.26,9.39097e-8,7.74734e-5,2.98966e-5,0.0299605,2.86931e-76,26518.2,0.00315985,0.0185837,0.0529073,56.011,1.59369e-77
20,106,1040.77,2.4142e-11,2.01444e-8,7.78544e-9,7.80177e-6,-3.89506e-110,26476.2,1.72935e-5,0.0001017,0.000287771,0.30476,-2.17093e-111,1059.42,2.20756e-11,1.81598e-8,7.02319e-9,7.03822e-6,1.11291e-108,26514.9,1.59403e-5,9.34785e-5,0.000266364,0.282022,6.18181e-110,1062.26,2.35777e-11,1.94511e-8,7.50607e-9,7.52211e-6,2.81788e-109,26518.2,1.65607e-5,9.73969e-5,0.000277287,0.293553,1.56406e-110
0,201,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8
1,201,10136.4,65.0006,392.453,90.9561,90919.4,20.2676,31069,10.839,63.9056,149.803,149927,1.12597,10099.7,67.1339,402.636,93.2815,93245.7,20.2678,31062.7,11.2251,65.6877,155.052,155190,1.12599,10056.3,69.6541,419.937,97.1329,97097.7,20.2679,31055.2,11.6842,68.6599,161.78,161935,1.12599
2,201,10136.3,3.27181,104.289,37.1944,37195.4,4.47058e-8,31068.2,0.720735,17.3449,62.0052,62137.7,2.48363e-9,10099.6,3.37991,106.003,37.8804,37882.9,4.47261e-8,31061.9,0.751984,17.6798,63.7642,63907.9,2.48476e-9,10056.2,3.50844,111.343,39.65,39653.9,4.47243e-8,31054.4,0.79195,18.6256,66.9097,67068.6,2.48466e-9
3,201,10136.2,0.173038,23.0377,9.4041,9406.75,-5.84415e-17,31068,0.0885875,3.9802,16.1003,16146.5,-3.24666e-18,10099.5,0.17887,23.1683,9.4928,9495.91,-3.09787e-17,31061.7,0.0932447,4.02138,16.4298,16479.4,-1.72097e-18,10056.1,0.186204,24.5346,10.0037,10007.4,-5.3124e-16,31054.1,0.100597,4.27662,17.3744,17429.3,-2.9513e-17
4,201,10136.2,0.0109577,4.90567,2.09218,2093.03,-4.00695e-22,31068,0.0170012,0.889161,3.72723,3739.18,-2.22602e-23,10099.5,0.0113283,4.87828,2.09036,2091.32,-2.13493e-22,31061.6,0.0178662,0.890435,3.77173,3784.46,-1.18603e-23,10056.1,0.011927,5.21081,2.22024,2221.35,-3.48007e-21,31054,0.0196288,0.95655,4.02539,4039.57,-1.93335e-22
6,201,10136.2,0.000160094,0.218362,0.0947844,94.8297,1.76067e-33,31067.9,0.000820869,0.0439841,0.18654,187.17,9.7813e-35,10099.5,0.000162865,0.2122,0.0926056,92.6552,8.60935e-34,31061.6,0.00084944,0.0432788,0.185509,186.169,4.78286e-35,10056.1,0.00017961,0.230714,0.100065,100.124,7.45455e-33,31054,0.000954956,0.0474612,0.202012,202.76,4.14144e-34
9,201,10136.2,1.32434e-6,0.00204151,0.000887531,0.887964,3.9412e-49,31067.9,9.03098e-6,0.000483556,0.00205208,2.05905,2.18952e-50,10099.5,1.29918e-6,0.00191618,0.000837608,0.838066,2.27161e-49,31061.6,9.10378e-6,0.000463449,0.00198777,1.99488,1.26198e-50,10056.1,1.48334e-6,0.00213981,0.000929535,0.930084,7.41536e-48,31054,1.05576e-5,0.000524266,0.00223277,2.24108,4.11967e-49
