rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,Group,groupVsnaive
7,102,-5.24774619404261,0,0,1.08992388890203,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
8,102,-4.71311254960012,0,0,1.08903896088714,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
9,102,-5.19417068223632,0,0,1.12407336828009,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
10,102,-5.28884652047861,0,0,1.10918157371937,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
1,103,-6.32040383223696,0,0,1.22014029704491,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
2,103,-5.19553308961338,0,0,2.0106750850124,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
3,103,-5.53370289324198,0,0,1.85255562533837,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
4,103,-5.97716126401541,0,0,1.8838785939918,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
5,103,-5.32241254102638,0,0,1.97560045126159,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
6,103,-5.17674041680889,0,0,2.04999645488656,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
7,103,-5.43172940033745,0,0,1.96520869040378,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
8,103,-5.63012900112601,0,0,2.44742815686815,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
9,103,-5.61787499651077,0,0,1.94734646430897,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
10,103,-6.13455133737756,0,0,1.41671192193901,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
1,104,-5.73259086528421,0,0,1.32090358634231,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
2,104,-5.50487709692463,0,0,1.25650056271413,3,20,3,0,0.001,7621.25302863582,-2.47396197706604,1.33,4.5,Naive,G_Naive
