ID,time,y1,y1_simBlq,censored,split,color,filter
NHP22,23,2.67761,-4.26566,1,All,#4682B4,0
NHP22,29,2.67761,-3.36186,1,All,#4682B4,0
NHP23,0,2.67761,-1.14368,1,All,#4682B4,0
NHP23,1,2.87737,2.87737,0,All,#4682B4,0
NHP23,2,3.5798,3.5798,0,All,#4682B4,0
NHP23,3,2.67761,1.83052,1,All,#4682B4,0
NHP23,4,3.04435,3.04435,0,All,#4682B4,0
NHP23,5,2.67761,1.34993,1,All,#4682B4,0
NHP23,7,2.67761,-2.8624,1,All,#4682B4,0
NHP23,9,2.67761,0.636636,1,All,#4682B4,0
NHP23,14,2.67761,-3.81753,1,All,#4682B4,0
NHP23,23,2.67761,-4.62139,1,All,#4682B4,0
NHP24,0,2.67761,-3.02958,1,All,#4682B4,0
NHP24,1,6.60313,6.60313,0,All,#4682B4,0
NHP24,2,6.88481,6.88481,0,All,#4682B4,0
NHP24,3,6.70148,6.70148,0,All,#4682B4,0
NHP24,4,5.36674,5.36674,0,All,#4682B4,0
NHP24,5,4.09461,4.09461,0,All,#4682B4,0
NHP24,7,2.67761,1.39006,1,All,#4682B4,0
NHP24,10,2.67761,1.84835,1,All,#4682B4,0
NHP24,14,2.67761,-2.54303,1,All,#4682B4,0
NHP24,23,2.67761,-2.21684,1,All,#4682B4,0
NHP24,29,2.67761,-5.38484,1,All,#4682B4,0
NHP25,0,2.67761,-2.0085,1,All,#4682B4,0
NHP25,1,7.66239,7.66239,0,All,#4682B4,0
NHP25,2,8.66695,8.66695,0,All,#4682B4,0
NHP25,3,7.30899,7.30899,0,All,#4682B4,0
NHP25,4,5.33231,5.33231,0,All,#4682B4,0
NHP25,5,5.13204,5.13204,0,All,#4682B4,0
NHP25,7,6.67645,6.67645,0,All,#4682B4,0
NHP25,10,4.48878,4.48878,0,All,#4682B4,0
NHP25,14,3.80698,3.80698,0,All,#4682B4,0
NHP25,23,2.67761,-2.96499,1,All,#4682B4,0
NHP25,29,2.67761,-2.60893,1,All,#4682B4,0
NHP26,0,2.67761,-1.67451,1,All,#4682B4,0
NHP26,1,6.88538,6.88538,0,All,#4682B4,0
NHP26,2,6.92821,6.92821,0,All,#4682B4,0
NHP26,3,6.01803,6.01803,0,All,#4682B4,0
NHP26,4,2.67761,2.58898,1,All,#4682B4,0
NHP26,5,4.54001,4.54001,0,All,#4682B4,0
NHP26,7,2.67761,2.28405,1,All,#4682B4,0
NHP26,10,2.67761,-2.72565,1,All,#4682B4,0
NHP26,14,2.67761,-4.01926,1,All,#4682B4,0
NHP26,23,2.67761,-0.539945,1,All,#4682B4,0
NHP26,29,2.67761,-3.01189,1,All,#4682B4,0
NHP27,0,2.67761,-2.15243,1,All,#4682B4,0
NHP27,1,2.67761,2.2205,1,All,#4682B4,0
NHP27,2,3.58506,3.58506,0,All,#4682B4,0
NHP27,3,3.19303,3.19303,0,All,#4682B4,0
NHP27,4,2.67761,-0.00607475,1,All,#4682B4,0
NHP27,7,2.67761,-0.470145,1,All,#4682B4,0
NHP27,9,2.67761,-1.95412,1,All,#4682B4,0
NHP27,14,2.67761,-5.1166,1,All,#4682B4,0
NHP27,23,2.67761,-4.21031,1,All,#4682B4,0
NHP28,0,2.67761,-3.46574,1,All,#4682B4,0
NHP28,1,6.29539,6.29539,0,All,#4682B4,0
NHP28,2,7.15607,7.15607,0,All,#4682B4,0
NHP28,3,6.28532,6.28532,0,All,#4682B4,0
NHP28,4,5.04278,5.04278,0,All,#4682B4,0
NHP28,5,5.19899,5.19899,0,All,#4682B4,0
NHP28,7,2.67761,1.64511,1,All,#4682B4,0
NHP28,10,2.67761,0.135839,1,All,#4682B4,0
NHP28,14,2.67761,-2.21217,1,All,#4682B4,0
NHP28,23,2.67761,-3.0943,1,All,#4682B4,0
NHP28,29,2.67761,-2.85539,1,All,#4682B4,0
NHP29,0,2.67761,-0.956014,1,All,#4682B4,0
NHP29,1,2.67761,0.829888,1,All,#4682B4,0
NHP29,2,4.03088,4.03088,0,All,#4682B4,0
NHP29,3,2.67761,1.53879,1,All,#4682B4,0
NHP29,4,2.67761,0.982243,1,All,#4682B4,0
NHP29,5,2.67761,1.77515,1,All,#4682B4,0
NHP29,7,3.46132,3.46132,0,All,#4682B4,0
NHP29,9,2.67761,-1.40485,1,All,#4682B4,0
NHP29,14,2.67761,-3.33486,1,All,#4682B4,0
NHP29,23,2.67761,-5.24768,1,All,#4682B4,0
NHP3,0,2.67761,-3.3963,1,All,#4682B4,0
NHP3,1,7.15801,7.15801,0,All,#4682B4,0
NHP3,2,8.11821,8.11821,0,All,#4682B4,0
NHP3,3,7.95986,7.95986,0,All,#4682B4,0
NHP3,4,6.79977,6.79977,0,All,#4682B4,0
NHP3,5,8.26243,8.26243,0,All,#4682B4,0
NHP3,7,5.52546,5.52546,0,All,#4682B4,0
NHP3,10,2.67761,1.21642,1,All,#4682B4,0
NHP3,14,2.67761,0.296307,1,All,#4682B4,0
NHP3,23,2.67761,-3.41678,1,All,#4682B4,0
NHP3,29,2.67761,-3.3542,1,All,#4682B4,0
