rep,id,beta_N_pow,fact_beta_T,fact_delta_T,delta_N,c,cI,k,g,mu,P_N,fact_P_T,alpha_VLSG,thresh_Weight,beta_immuno,Group
9,102,-5.14893227909193,0,0,2.0878324778556,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
10,102,-5.18400271630881,0,0,2.61831202373345,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
1,103,-5.90042915376557,0,0,2.15639350809643,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
2,103,-5.69458338854569,0,0,2.54886155280654,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
3,103,-5.17957708998415,0,0,2.74714687091069,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
4,103,-6.24553999497577,0,0,2.12559494166414,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
5,103,-5.45604279056661,0,0,2.4393693507444,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
6,103,-6.10640058223926,0,0,2.03297309852837,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
7,103,-6.02879807649863,0,0,1.89093650154068,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
8,103,-6.12284103363813,0,0,1.87359459817953,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
9,103,-5.91152957126909,0,0,1.95838897113947,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
10,103,-5.63990118416662,0,0,2.09933301718028,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
1,104,-5.88269598507427,0,0,1.28856933399934,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
2,104,-5.69203925607088,0,0,1.4068805531201,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
3,104,-5.38296655439877,0,0,1.74155284729296,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
4,104,-5.7121039861678,0,0,1.59520365450238,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
5,104,-5.42071388371484,0,0,1.57345311165385,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
6,104,-5.9472083657004,0,0,1.60699173206932,3,20,3,0,0.001,7802.61709074031,-2.50433609506916,1.35882133919767,4.5,-5.82421697810997e-7,Naive
