time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,Marker_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,Marker_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode,Marker_mode
6,103,2448.35,0.000497498,0.12185,0.0942641,94.5803,-8.77548e-26,21076.9,0.0579349,0.351262,2.20478,2260.42,-5.31795e-27,160173,2424.39,0.000500959,0.123518,0.0950564,95.3749,-8.04767e-26,21061,0.0600693,0.362382,2.27038,2328.1,-4.87688e-27,160173,2451.35,0.000556065,0.14937,0.111107,111.465,2.22312e-26,21075.1,0.0652961,0.408485,2.52544,2588.12,1.34721e-27,160173
9,103,2448.35,1.20723e-6,0.000342987,0.000268322,0.269249,-1.80074e-41,21076.9,0.000697604,0.00422654,0.0265486,27.219,-1.09126e-42,159666,2424.39,1.22239e-6,0.000349549,0.000272003,0.272942,-1.61799e-41,21061,0.000732761,0.00441744,0.0276962,28.4006,-9.80511e-43,159666,2451.35,1.54354e-6,0.000474332,0.000356101,0.357276,9.9353e-34,21075.1,0.000849329,0.00530987,0.0328519,33.6675,6.02077e-35,159666
14,103,2448.35,6.37058e-11,1.9181e-8,1.50257e-8,1.50743e-5,1.06069e-53,21076.9,4.06483e-7,2.55672e-6,1.62473e-5,0.0166371,6.42582e-55,134169,2424.39,6.50955e-11,1.97237e-8,1.53685e-8,1.54181e-5,9.34609e-54,21061,4.3635e-7,2.73054e-6,1.73196e-5,0.0177382,5.66185e-55,134169,2451.35,9.96831e-11,3.24437e-8,2.43838e-8,2.4459e-5,1.28701e-47,21075.1,5.62988e-7,3.65603e-6,2.28761e-5,0.0234156,7.88658e-49,134169
20,103,2448.35,4.67956e-16,1.52186e-13,1.1934e-13,1.19688e-10,7.21814e-73,21076.9,4.71077e-11,3.10818e-10,2.00785e-9,2.0529e-6,4.37296e-74,103572,2424.39,4.90017e-16,1.60084e-13,1.24863e-13,1.25227e-10,1.79899e-73,21061,5.20523e-11,3.41546e-10,2.20214e-9,2.25194e-6,1.09009e-74,103572,2451.35,9.1804e-16,3.22955e-13,2.42957e-13,2.43631e-10,2.46194e-69,21075.1,7.61397e-11,5.1911e-10,3.30026e-9,3.37302e-6,1.50846e-70,103572
0,104,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,207751,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,207751,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,207751
1,104,3879.87,416.281,2888.23,847.322,848405,20.2667,29361.2,147.238,748.476,2508.2,2.54815e+6,1.12587,201261,3872.03,416.687,2885.09,843.916,844995,20.2667,29357.5,147.592,748.417,2512.22,2.55232e+6,1.12587,201261,3821.19,419.365,2900.4,848.873,849958,20.2667,29333.7,149.831,756.793,2540.18,2.58123e+6,1.12587,201261
2,104,3874.7,22.0755,900.146,387.188,388246,4.3223e-8,29238.7,40.5394,300.472,1346.06,1.38e+6,2.40102e-9,194770,3866.89,22.0882,896.508,384.756,385809,4.32215e-8,29234.7,40.6331,299.866,1345.89,1.37992e+6,2.40094e-9,194770,3816.02,22.2267,899.42,386.376,387433,4.32148e-8,29208.1,41.5017,303.46,1361.08,1.3959e+6,2.40056e-9,194770
3,104,3872.87,1.53379,239.925,114.498,114889,5.76238e-17,29184.9,15.752,115.675,537.688,552627,3.20077e-18,188279,3865.07,1.53092,238.158,113.45,113838,1.56477e-17,29180.8,15.7653,115.244,536.701,551654,8.69081e-19,188279,3814.2,1.53869,238.391,113.702,114092,1.4348e-17,29153,16.1331,116.803,543.411,558721,7.96882e-19,188279
4,104,3872.36,0.193589,62.3123,30.5837,30695.4,-2.87499e-25,29164.2,6.04052,44.5929,208.271,214084,-1.59693e-26,181788,3864.57,0.192142,61.638,30.2046,30315.2,-8.27941e-26,29160.1,6.03592,44.3529,207.541,213350,-4.59838e-27,181788,3813.7,0.192517,61.5534,30.2048,30315.4,-7.7681e-26,29131.7,6.18582,45.0221,210.453,216409,-4.31432e-27,181788
6,104,3872.18,0.012102,4.16446,2.0587,2068.6,4.58968e-35,29152,1.12378,7.02545,31.8338,32924.6,2.54935e-36,290433,3864.39,0.011889,4.09043,2.01909,2028.82,1.91257e-33,29148,1.11846,6.96468,31.6177,32703.4,1.06223e-34,290433,3813.52,0.0118392,4.06536,2.00962,2019.31,-2.72098e-34,29119.3,1.14991,7.09472,32.1667,33283.2,-1.51122e-35,290433
9,104,3872.16,0.000315794,0.0724688,0.035648,35.9278,2.93794e-47,29149,0.1315,0.623627,2.59977,2728.54,1.632e-48,453402,3864.37,0.000306516,0.0704255,0.0345921,34.8637,8.12299e-46,29145,0.130051,0.615063,2.56897,2696.33,4.51194e-47,453402,3813.51,0.000303024,0.0694953,0.0341845,34.453,-7.78363e-47,29116.2,0.134608,0.63128,2.63207,2763.91,-4.32364e-48,453402
14,104,3872.16,2.91398e-7,8.53082e-5,4.20788e-5,0.0423279,2.00672e-57,29148.6,0.00213526,0.012487,0.0546654,56.7439,1.11482e-58,309452,3864.37,2.78122e-7,8.14414e-5,4.01121e-5,0.0403499,5.63109e-56,29144.6,0.00209489,0.0122071,0.0535405,55.5798,3.12806e-57,309452,3813.51,2.7175e-7,7.94153e-5,3.91708e-5,0.0394031,-5.43554e-57,29115.8,0.002197,0.0126897,0.0555785,57.7177,-3.01955e-58,309452
20,104,3872.16,5.59835e-11,2.5465e-8,1.26211e-8,1.26644e-5,4.24319e-67,29148.6,6.40273e-6,5.0712e-5,0.000239734,0.245891,2.35685e-68,136712,3864.37,5.23766e-11,2.37992e-8,1.1778e-8,1.18186e-5,5.21254e-66,29144.6,6.22713e-6,4.90787e-5,0.000232454,0.238443,2.89432e-67,136712,3813.51,5.045e-11,2.28772e-8,1.13382e-8,1.13772e-5,7.61403e-67,29115.8,6.60373e-6,5.15471e-5,0.000243915,0.250268,4.23097e-68,136712
0,105,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,149358,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,149358,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,149358
1,105,4540.54,381.124,2035.31,647.111,648085,20.2683,29648.7,118.765,495.711,1802.31,1.82948e+6,1.12596,171010,4502.32,383.164,2017.1,642.053,643024,20.2682,29633.9,119.917,493.397,1803.25,1.83076e+6,1.12596,171010,4515.16,382.479,2029.73,644.372,645343,20.2683,29638.8,119.586,495.737,1807.55,1.835e+6,1.12596,171010
2,105,4536.62,19.9568,447.127,228.109,228942,4.34206e-8,29573.5,25.422,144.138,743.819,764007,2.41202e-9,192663,4498.44,20.0427,434.583,223.143,223965,4.34122e-8,29558.4,25.499,141.381,735.147,755381,2.41155e-9,192663,4511.26,20.0166,442.063,225.715,226543,4.34175e-8,29563.1,25.5625,143.299,742.2,762503,2.41185e-9,192663
3,105,4535.49,1.24499,79.9316,48.3147,48570.4,-5.37222e-15,29546.6,7.79943,41.1641,221.367,228715,-2.98432e-16,214315,4497.34,1.24125,75.9701,46.4243,46673.1,1.42396e-13,29531.7,7.72794,39.8586,216.019,223299,7.91014e-15,214315,4510.15,1.24417,78.2451,47.4287,47681,-6.53661e-15,29536.1,7.80628,40.7235,219.79,227145,-3.63113e-16,214315
4,105,4535.25,0.112627,13.6317,8.78864,8845.58,1.55945e-20,29538.2,2.40841,12.1563,64.7597,67089.9,8.6629e-22,235968,4497.12,0.109866,12.6498,8.26988,8324.33,-4.00876e-19,29523.5,2.35636,11.6281,62.414,64694.5,-2.22687e-20,235968,4509.92,0.11138,13.2031,8.54758,8603.34,1.87745e-20,29527.8,2.39869,11.9708,63.9947,66315.9,1.04294e-21,235968
6,105,4535.2,0.00210812,0.385528,0.256971,258.705,-4.73957e-27,29535,0.197524,1.05864,5.6905,5882.1,-2.63309e-28,185340,4497.07,0.00194075,0.340492,0.230707,232.299,3.41426e-25,29520.4,0.188676,0.98809,5.35193,5535.04,1.89669e-26,185340,4509.87,0.00203043,0.365294,0.24476,246.427,-1.19847e-26,29524.6,0.194967,1.03281,5.57132,5760.5,-6.65787e-28,185340
9,105,4535.2,7.95983e-6,0.00180802,0.00121428,1.22101,-1.22121e-42,29534.8,0.00383534,0.0231488,0.129645,133.347,-6.78443e-44,109398,4497.07,6.78868e-6,0.0014813,0.001012,1.01775,1.67944e-42,29520.2,0.00353171,0.0207915,0.117408,120.819,9.32274e-44,109398,4509.87,7.41229e-6,0.00165699,0.001119,1.12527,-1.695e-42,29524.4,0.00373456,0.022256,0.125117,128.723,-9.41604e-44,109398
14,105,4535.2,9.57026e-10,2.35055e-7,1.58179e-7,0.000158977,5.78778e-54,29534.8,5.21181e-6,3.2379e-5,0.000184246,0.189269,3.21529e-55,97212.5,4497.07,7.19425e-10,1.69845e-7,1.16282e-7,0.000116885,-5.35533e-53,29520.2,4.49742e-6,2.72363e-5,0.000156308,0.160645,-2.97273e-54,97212.5,4509.87,8.42789e-10,2.0375e-7,1.37877e-7,0.000138581,1.1697e-53,29524.4,4.95161e-6,3.03637e-5,0.000173449,0.178222,6.49731e-55,97212.5
20,105,4535.2,1.99671e-14,5.0892e-12,3.42679e-12,3.44331e-9,-2.61626e-83,29534.8,1.79687e-9,1.14299e-8,6.55341e-8,6.72637e-5,-1.4532e-84,82590,4497.07,1.29014e-14,3.16034e-12,2.16504e-12,2.17576e-9,7.51863e-81,29520.2,1.43285e-9,8.88137e-9,5.1364e-8,5.27441e-5,4.17369e-82,82590,4509.87,1.64506e-14,4.12664e-12,2.79419e-12,2.80783e-9,-6.76159e-83,29524.4,1.6569e-9,1.04008e-8,5.98678e-8,6.14632e-5,-3.75568e-84,82590
0,106,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,371857,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,371857,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,371857
1,106,2111.95,505.576,3419.58,1021.29,1.02221e+6,20.2682,28265.6,255.565,1138.79,3787.96,3.87811e+6,1.12591,346086,2131.99,504.609,3405.25,1013.92,1.01485e+6,20.2685,28282.7,253.744,1130.08,3766.55,3.85577e+6,1.12593,346086,2103.14,505.993,3425.52,1019.14,1.02005e+6,20.2688,28257.7,256.547,1142.69,3803.73,3.89445e+6,1.12595,346086
2,106,2107.08,26.4143,1005.16,444.787,445681,4.31203e-8,28004.1,83.0869,476.097,2073.83,2.14672e+6,2.39518e-9,320316,2127.14,26.3607,998.134,440.661,441553,4.31394e-8,28024.2,82.1514,470.823,2056.48,2.12851e+6,2.39624e-9,320316,2098.29,26.4314,1007.98,444.2,445091,4.31522e-8,27994.3,83.6705,478.677,2085.56,2.15901e+6,2.39695e-9,320316
3,106,2105.52,1.67699,251.214,124.381,124685,3.20336e-16,27891.4,32.8734,191.963,866.802,898376,1.77934e-17,294545,2125.59,1.67195,248.656,122.889,123192,-3.96415e-15,27913,32.3993,189.174,856.671,887783,-2.20191e-16,294545,2096.73,1.67718,252.229,124.347,124650,1.91439e-16,27880.5,33.1795,193.428,873.485,905357,1.06336e-17,294545
4,106,2105.13,0.170938,60.998,31.1999,31277.4,-4.94247e-24,27848.3,12.5301,76.1735,348.61,360759,-2.74532e-25,268775,2125.2,0.169863,60.1734,30.7289,30805.9,6.17176e-23,27870.7,12.3106,74.8151,343.371,355306,3.42812e-24,268775,2096.34,0.170901,61.3232,31.2286,31306,-2.92233e-24,27836.9,12.6757,76.924,352.06,364351,-1.62323e-25,268775
6,106,2105.02,0.00629251,3.54957,1.83656,1840.86,-2.98301e-31,27825.8,1.80554,11.4685,53.2897,55040.1,-1.65689e-32,247038,2125.09,0.00620035,3.47761,1.79668,1800.92,-1.82711e-31,27848.6,1.76262,11.1905,52.1445,53853.2,-1.01488e-32,247038,2096.23,0.00630399,3.57783,1.84297,1847.27,9.89231e-33,27814.1,1.83491,11.6331,54.055,55834,5.4967e-34,247038
9,106,2105.01,7.92451e-5,0.0496469,0.0257199,25.7733,-2.60585e-44,27822.3,0.0932469,0.626699,2.95645,3046.65,-1.44748e-45,214433,2125.09,7.72823e-5,0.0481405,0.0249031,24.9554,-1.56007e-44,27845.2,0.090178,0.605658,2.86516,2952.39,-8.6659e-46,214433,2096.22,7.97222e-5,0.0502396,0.0259113,25.965,8.76441e-46,27810.5,0.0954228,0.64,3.01913,3111.43,4.87023e-47,214433
14,106,2105.01,5.68322e-8,4.02094e-5,2.08458e-5,0.0208818,2.49706e-58,27822.1,0.000579177,0.00422652,0.0203616,20.9198,1.38713e-59,168246,2125.09,5.44972e-8,3.83236e-5,1.98392e-5,0.0198738,1.59264e-58,27845,0.000551619,0.00402147,0.0194271,19.9588,8.84732e-60,168246,2096.22,5.75724e-8,4.09583e-5,2.11396e-5,0.021176,-8.07826e-60,27810.3,0.000599667,0.00436583,0.0210313,21.6093,-4.48922e-61,168246
20,106,2105.01,9.57971e-12,7.81725e-9,4.05566e-9,4.06117e-6,-5.37954e-67,27822.1,1.04045e-6,8.39282e-6,4.13837e-5,0.0423817,-2.98824e-68,112821,2125.09,9.00193e-12,7.29813e-9,3.78083e-9,3.78604e-6,-3.71042e-67,27845,9.73509e-7,7.8423e-6,3.87744e-5,0.0397082,-2.06112e-68,112821,2096.22,9.78576e-12,8.02626e-9,4.14555e-9,4.15118e-6,1.66834e-68,27810.3,1.09273e-6,8.79105e-6,4.33426e-5,0.0443909,9.27085e-70,112821
0,201,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,146812,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,146812,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,146812
1,201,10858.2,22.9174,154.507,45.0842,45048.5,20.2667,31188.4,3.65033,24.2989,85.0235,84989.2,1.12593,134313,10863.7,22.5957,151.587,44.1404,44105.3,20.2673,31189.3,3.59742,23.8334,83.6222,83587.8,1.12596,134313,10858.1,22.9221,154.773,44.9768,44941.1,20.2668,31188.4,3.6512,24.3408,85.2277,85193.3,1.12593,134313
