rep,id,eta_beta_N_pow,eta_fact_beta_T,eta_fact_delta_T,eta_delta_N,eta_c,eta_cI,eta_k,eta_g,eta_mu,eta_P_N,eta_fact_P_T,eta_alpha_VLSG,eta_thresh_Weight,eta_beta_immuno,Group,groupVsnaive
6,304,0.0415357959897643,0,0,-0.0663514847042006,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
7,304,-0.0959269281139859,0,0,-0.140727426677296,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
8,304,-0.020213317796908,0,0,-0.166406932752876,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
9,304,-0.030724378682079,0,0,0.1823543301204,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
10,304,-0.0381788193967161,0,0,-0.252324063278433,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
1,305,0.0877549454839966,0,0,0.00589528817041152,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
2,305,-0.062148821014332,0,0,0.0831113892132056,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
3,305,0.026246533406485,0,0,0.0742125940810638,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
4,305,-0.0645809172420175,0,0,0.170023064349101,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
5,305,0.0379176964857371,0,0,0.277909359936308,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
6,305,-0.0605705851935172,0,0,0.228445896236012,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
7,305,0.0650487664244198,0,0,0.0857206126294432,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
8,305,0.0411788148050854,0,0,0.249619759690642,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
9,305,-0.0913492066364601,0,0,-0.106319695561318,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
10,305,0.0661865461659768,0,0,0.216723027837522,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
1,306,0.0118489986744064,0,0,0.0973064127967238,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
2,306,0.0719580354890434,0,0,-0.128527371556697,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
3,306,0.103659584982515,0,0,0.0199987758958132,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
4,306,-0.0669250404331963,0,0,-0.163558591591205,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
5,306,0.128160948536984,0,0,-0.124464861305022,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
6,306,0.0103107240392289,0,0,-0.0927297577334332,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
7,306,0.128991072699208,0,0,-0.45190946234619,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
8,306,0.0774823484813105,0,0,-0.0902482320184115,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
9,306,0.0851679603179145,0,0,0.102214622193093,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
10,306,-0.0741470307556696,0,0,0.0335302984518594,0,0,0,0,0,0,0,0,0,0,Conv-CD40,G_convCD40
