time,id,TT_SAEM,I1T_SAEM,I2T_SAEM,VIT_SAEM,VNIT_SAEM,ViniT_SAEM,TN_SAEM,I1N_SAEM,I2N_SAEM,VIN_SAEM,VNIN_SAEM,ViniN_SAEM,Marker_SAEM,TT_mean,I1T_mean,I2T_mean,VIT_mean,VNIT_mean,ViniT_mean,TN_mean,I1N_mean,I2N_mean,VIN_mean,VNIN_mean,ViniN_mean,Marker_mean,TT_mode,I1T_mode,I2T_mode,VIT_mode,VNIT_mode,ViniT_mode,TN_mode,I1N_mode,I2N_mode,VIN_mode,VNIN_mode,ViniN_mode,Marker_mode
9,103,4634.92,2.43625e-6,0.000747017,0.000416463,0.418474,-6.06358e-32,22038.2,0.000206801,0.00179423,0.00958891,9.78591,-3.67471e-33,159666,4530.2,2.26424e-6,0.000682604,0.000372903,0.374786,4.56927e-33,22006.1,0.00020174,0.00172037,0.00888415,9.0768,2.7691e-34,159666,4700.48,3.0811e-6,0.00107559,0.000557046,0.559561,1.60248e-33,22059.5,0.000220413,0.00209724,0.0106476,10.8571,9.71154e-35,159666
14,103,4634.92,2.40013e-10,7.0663e-8,4.03134e-8,4.05129e-5,-1.19165e-44,22038.2,1.09656e-7,9.2767e-7,5.02485e-6,0.00512937,-7.22078e-46,134169,4530.2,2.06171e-10,5.96341e-8,3.33549e-8,3.35275e-5,-2.68553e-45,22006.1,1.01804e-7,8.46304e-7,4.43012e-6,0.00452739,-1.62752e-46,134169,4700.48,3.85708e-10,1.29547e-7,6.85667e-8,6.88834e-5,-2.4272e-45,22059.5,1.28282e-7,1.19043e-6,6.12485e-6,0.00624688,-1.47089e-46,134169
20,103,4634.92,3.11935e-15,8.58507e-13,5.06663e-13,5.09272e-10,2.44867e-53,22038.2,1.12052e-11,9.14885e-11,5.04359e-10,5.15048e-7,1.48374e-54,103572,4530.2,2.48921e-15,6.72807e-13,3.89351e-13,3.91448e-10,-6.08647e-53,22006.1,9.8496e-12,7.90109e-11,4.20974e-10,4.30393e-7,-3.6885e-54,103572,4700.48,6.67878e-15,2.10546e-12,1.15041e-12,1.15593e-9,-2.10242e-53,22059.5,1.46393e-11,1.3113e-10,6.86612e-10,7.0055e-7,-1.27405e-54,103572
0,104,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,207751,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,207751,11250,0,0,0,0,9.8325e+9,31250,0,0,0,0,5.4625e+8,207751
1,104,4373.46,389.772,2728.13,634.497,635323,20.2671,29588.8,121.926,665.313,1862.95,1.88965e+6,1.12589,201261,4102.22,404.212,2905.11,648.566,649407,20.2687,29477.1,130.998,727.105,1939.47,1.96904e+6,1.12598,201261,3820.31,419.101,2959.1,665.077,665941,20.2668,29351.4,141.819,764.12,2045.34,2.07882e+6,1.12587,201261
2,104,4369.47,20.4525,859.173,292.824,293649,4.33994e-8,29506.2,28.4153,255.193,972.497,995269,2.41085e-9,194770,4098.1,21.2139,946.574,307.084,307939,4.34854e-8,29384.6,31.7041,288.816,1040.54,1.06623e+6,2.41561e-9,194770,3816.14,21.9641,938.014,308.185,309050,4.33357e-8,29248,35.1063,299.586,1083.1,1.1118e+6,2.40727e-9,194770
3,104,4368.03,1.36377,230.322,87.2111,87524.7,1.04337e-16,29470.7,10.3844,92.121,367.455,377230,5.79573e-18,188279,4096.56,1.42675,263.779,94.5773,94910.8,8.67891e-17,29343.7,12.0112,108.146,406.795,418141,4.82087e-18,188279,3814.61,1.45804,253.455,92.3983,92728.4,1.35571e-17,29202.9,13.2384,111.147,419.139,431682,7.52942e-19,188279
4,104,4367.62,0.163075,59.8331,23.3641,23455.7,-1.30619e-24,29457.6,3.79814,33.2578,133.444,137094,-7.25548e-26,181788,4096.11,0.176898,71.3561,26.3202,26421,2.20812e-25,29328,4.5516,40.4885,153.136,157518,1.22651e-26,181788,3814.18,0.173743,66.3918,24.9465,25043.6,-8.69194e-26,29185.8,4.97368,41.2582,156.399,161198,-4.82731e-27,181788
6,104,4367.48,0.00833689,4.37992,1.65894,1665.49,8.18863e-32,29451.1,0.512511,4.71059,18.3576,18851.2,4.5485e-33,290433,4095.95,0.00993328,5.65494,2.02439,2032.16,8.83256e-34,29319.9,0.659852,6.15198,22.6247,23261.2,4.90595e-35,290433,3814.03,0.00898902,4.9406,1.80073,1807.79,4.45264e-34,29177,0.709093,6.17056,22.7337,23419.4,2.47294e-35,290433
9,104,4367.47,0.000197158,0.121979,0.0428637,43.0178,-1.0253e-40,29450.1,0.0323125,0.327804,1.21745,1248.51,-5.69508e-42,453402,4095.94,0.000264436,0.175739,0.0585788,58.7844,-7.94422e-40,29318.5,0.0461231,0.472822,1.66029,1704.71,-4.41251e-41,453402,3814.02,0.000217856,0.140832,0.0476533,47.8233,2.44622e-40,29175.5,0.0484533,0.464085,1.63182,1678.59,1.35859e-41,453402
